Street Address,Latitude,Longitude
103 EMPIRE BLVD,40.663435,-73.95867
103 FEATHERBED LANE,40.846195,-73.91856
103 GRAHAM AVE,40.705272,-73.942867
103 GREENWICH AVENUE,40.737755,-74.001819
103 LEXINGTON AVE FRNT 1,40.742222,-73.982756
103 MACDOUGAL STREET,40.729611,-74.000829
103 NORTH 3 STREET,40.71679,-73.962075
103 STUYVESANT AVE FL 1,40.692006,-73.933842
103 WASHINGTON ST,40.708434,-74.014283
103 WAVERLY PL LBBY,40.732349,-73.998848
103 WAVERLY PLACE,40.732349,-73.998848
103 WEST 14 STREET,40.73763,-73.99746
103 WEST 70 STREET,40.776235,-73.980019
103 WEST 72 STREET,40.777566,-73.979132
103 WEST 77 STREET,40.780787,-73.976783
1030 2 AVENUE,40.757641,-73.966494
1030 AMSTERDAM AVE,40.803393,-73.963574
1030 MANHATTAN AVE,40.734075,-73.954887
103-01 METROPOLITAN AVENUE,40.710312,-73.849863
103-02 ROOSEVELT AVENUE,40.749495,-73.862703
103-02 SPRINGIELD BOULEVARD,40.713218,-73.735834
103-05 37 AVENUE,40.7533,-73.864327
103-06 LIBERTY AVENUE,40.681699,-73.837659
103-07 NORTHERN BLVD,40.757647,-73.865513
103-07 QUEENS BOULEVARD,40.724952,-73.850017
103-07 ROOSEVELT AVENUE,40.749892,-73.862549
103-08 39 AVENUE,40.750705,-73.862943
103-09 GLENWOOD ROAD,40.631935,-73.966468
1031 EAST 92 STREET,40.643867,-73.907832
1031 RUTLAND RD,40.663214,-73.925571
103-10 39 AVENUE,40.750709,-73.862929
10310 ROOSEVELT AVENUE,40.755375,-73.843109
103-105 AVENUE B,40.724824,-73.981378
103-105 MOTT ST,40.717327,-73.997464
103-107 EAST 161 STREET,40.827479,-73.924267
103-12 NORTHERN BLVD,40.757634,-73.865447
103-13 NORTHERN BOULEVARD,40.75765,-73.865463
103-15 101 AVENUE,40.686053,-73.839738
103-15 QUEENS BOULEVARD,40.724817,-73.849893
103-16 MERRICK BLVD,40.701856,-73.790651
103-18 METROPOLITAN AVE,40.710274,-73.849748
103-19 METROPOLITAN AVENUE,40.71029,-73.849732
1032 CONEY ISLAND AVE FL 1ST,40.632455,-73.96682
1032 NOSTRAND AVENUE,40.663224,-73.950896
1032 UNION STREET,40.669643,-73.957691
103-20 LIBERTY AVENUE,40.681734,-73.837564
103-21 METROPOLITAN AVE,40.710288,-73.849717
103-26 ROOSEVELT AVENUE,40.749563,-73.862475
103-28 CORONA AVE,40.744089,-73.859479
1033 6 AVENUE,40.752709,-73.985672
1033 NOSTRAND AVE,40.663024,-73.950858
103-32 ROCKAWAY BEACH BLVD,40.58133,-73.831778
103-35 QUEENS BLVD,40.724383,-73.849444
1034 AMSTERDAM AVCE.,40.799925,-73.971668
1035 EAST 163 STREET,40.821001,-73.891395
1035 MANHATTAN AVE,40.734199,-73.954927
